customer_name,order_date,total_amount,running_total
"Ankita Roy",2024-06-28,2800.00,2800.00
"Ankita Roy",2024-07-05,3500.00,6300.00
"Arjun Mehta",2023-11-05,8500.00,8500.00
"Dev Nair",2023-08-20,3500.00,3500.00
"Dev Nair",2023-12-25,55000.00,58500.00
"Dev Nair",2024-04-10,999.00,59499.00
"Karan Singh",2024-07-20,55000.00,55000.00
"Priya Bose",2024-07-01,750.00,750.00
"Priya Bose",2024-07-18,600.00,1350.00
"Rahul Gupta",2022-12-01,1200.00,1200.00
"Riya Sharma",2024-01-10,55000.00,55000.00
"Riya Sharma",2024-03-22,3500.00,58500.00
"Riya Sharma",2024-06-15,1800.00,60300.00
"Sneha Patel",2024-05-30,900.00,900.00
"Soham Das",2024-07-10,8500.00,8500.00
